FABRICANTE,CODIGO_PECA,DESCRICAO,CHAVE_DE_BUSCA,MARCA_VEICULO,MODELO_VEICULO,ANOS_APLICACAO,CONTEXTO_IA
COFAP / BANDEJAS,STC04127M,SUPORTE BARRA TENSORA LE (MORCEGUINHO),CHEVROLET CORSA PICK-UP 5- 98/03,CHEVROLET,CORSA PICK-UP 5-,1998 a 2003,SUPORTE BARRA TENSORA LE (MORCEGUINHO) compatível com CHEVROLET CORSA PICK-UP 5-. Aplicação: 1998 a 2003. Fabricante: COFAP / BANDEJAS. Código: STC04127M.
COFAP / BANDEJAS,STC04127M,SUPORTE BARRA TENSORA LE (MORCEGUINHO),CHEVROLET CELTA 00/,CHEVROLET,CELTA,2000,SUPORTE BARRA TENSORA LE (MORCEGUINHO) compatível com CHEVROLET CELTA. Aplicação: 2000. Fabricante: COFAP / BANDEJAS. Código: STC04127M.
COFAP / BANDEJAS,STC04127M,SUPORTE BARRA TENSORA LE (MORCEGUINHO),CHEVROLET PRISMA 06/,CHEVROLET,PRISMA,2006,SUPORTE BARRA TENSORA LE (MORCEGUINHO) compatível com CHEVROLET PRISMA. Aplicação: 2006. Fabricante: COFAP / BANDEJAS. Código: STC04127M.
COFAP / BANDEJAS,STC04127M,SUPORTE BARRA TENSORA LE (MORCEGUINHO),CHEVROLET TIGRA 98/98,CHEVROLET,TIGRA,1998 a 1998,SUPORTE BARRA TENSORA LE (MORCEGUINHO) compatível com CHEVROLET TIGRA. Aplicação: 1998 a 1998. Fabricante: COFAP / BANDEJAS. Código: STC04127M.
COFAP / BANDEJAS,STC04128M,SUPORTE BARRA TENSORA LD (MORCEGUINHO),CHEVROLET MONTANA 11/,CHEVROLET,MONTANA,2011,SUPORTE BARRA TENSORA LD (MORCEGUINHO) compatível com CHEVROLET MONTANA. Aplicação: 2011. Fabricante: COFAP / BANDEJAS. Código: STC04128M.
COFAP / BANDEJAS,STC04128M,SUPORTE BARRA TENSORA LD (MORCEGUINHO),CHEVROLET AGILE 09/,CHEVROLET,AGILE,2009,SUPORTE BARRA TENSORA LD (MORCEGUINHO) compatível com CHEVROLET AGILE. Aplicação: 2009. Fabricante: COFAP / BANDEJAS. Código: STC04128M.
COFAP / BANDEJAS,STC04129M,SUPORTE BARRA TENSORA LE (MORCEGUINHO),CHEVROLET AGILE 09/,CHEVROLET,AGILE,2009,SUPORTE BARRA TENSORA LE (MORCEGUINHO) compatível com CHEVROLET AGILE. Aplicação: 2009. Fabricante: COFAP / BANDEJAS. Código: STC04129M.
COFAP / BANDEJAS,STC04129M,SUPORTE BARRA TENSORA LE (MORCEGUINHO),CHEVROLET MONTANA 11/,CHEVROLET,MONTANA,2011,SUPORTE BARRA TENSORA LE (MORCEGUINHO) compatível com CHEVROLET MONTANA. Aplicação: 2011. Fabricante: COFAP / BANDEJAS. Código: STC04129M.
FRAS-LE,2006T,LONA DIANTEIRA/TRASEIRA,CHEVROLET C10 64/78,CHEVROLET,C10,1964 a 1978,LONA DIANTEIRA/TRASEIRA compatível com CHEVROLET C10. Aplicação: 1964 a 1978. Fabricante: FRAS-LE. Código: 2006T.
FRAS-LE,2006T,LONA DIANTEIRA/TRASEIRA,CHEVROLET C14 64/78,CHEVROLET,C14,1964 a 1978,LONA DIANTEIRA/TRASEIRA compatível com CHEVROLET C14. Aplicação: 1964 a 1978. Fabricante: FRAS-LE. Código: 2006T.
FRAS-LE,2006T,LONA DIANTEIRA/TRASEIRA,CHEVROLET C15 64/78,CHEVROLET,C15,1964 a 1978,LONA DIANTEIRA/TRASEIRA compatível com CHEVROLET C15. Aplicação: 1964 a 1978. Fabricante: FRAS-LE. Código: 2006T.
FRAS-LE,2006T,LONA DIANTEIRA/TRASEIRA,CHEVROLET CHEVY CHEVY-4 (DIANTEIRA/T 76/78,CHEVROLET,CHEVY CHEVY-4 (DIANTEIRA/T,1976 a 1978,LONA DIANTEIRA/TRASEIRA compatível com CHEVROLET CHEVY CHEVY-4 (DIANTEIRA/T. Aplicação: 1976 a 1978. Fabricante: FRAS-LE. Código: 2006T.
FRAS-LE,2006T,LONA DIANTEIRA/TRASEIRA,CHEVROLET D10 79/85,CHEVROLET,D10,1979 a 1985,LONA DIANTEIRA/TRASEIRA compatível com CHEVROLET D10. Aplicação: 1979 a 1985. Fabricante: FRAS-LE. Código: 2006T.
FRAS-LE,2080T,LONA TRASEIRA,CHEVROLET D20 85/93,CHEVROLET,D20,1985 a 1993,LONA TRASEIRA compatível com CHEVROLET D20. Aplicação: 1985 a 1993. Fabricante: FRAS-LE. Código: 2080T.
FRAS-LE,2080T,LONA TRASEIRA,CHEVROLET C20 85/93,CHEVROLET,C20,1985 a 1993,LONA TRASEIRA compatível com CHEVROLET C20. Aplicação: 1985 a 1993. Fabricante: FRAS-LE. Código: 2080T.
FRAS-LE,2080T,LONA TRASEIRA,CHEVROLET D10 85/94,CHEVROLET,D10,1985 a 1994,LONA TRASEIRA compatível com CHEVROLET D10. Aplicação: 1985 a 1994. Fabricante: FRAS-LE. Código: 2080T.
FRAS-LE,2080T,LONA TRASEIRA,CHEVROLET C10 85/94,CHEVROLET,C10,1985 a 1994,LONA TRASEIRA compatível com CHEVROLET C10. Aplicação: 1985 a 1994. Fabricante: FRAS-LE. Código: 2080T.
FRAS-LE,2080T,LONA TRASEIRA,CHEVROLET C10 79/,CHEVROLET,C10,1979,LONA TRASEIRA compatível com CHEVROLET C10. Aplicação: 1979. Fabricante: FRAS-LE. Código: 2080T.
FRAS-LE,2080T,LONA TRASEIRA,FORD F-1000 79/94,FORD,F-1000,1979 a 1994,LONA TRASEIRA compatível com FORD F-1000. Aplicação: 1979 a 1994. Fabricante: FRAS-LE. Código: 2080T.
FRAS-LE,2080T,LONA TRASEIRA,FORD F-1000 95/98,FORD,F-1000,1995 a 1998,LONA TRASEIRA compatível com FORD F-1000. Aplicação: 1995 a 1998. Fabricante: FRAS-LE. Código: 2080T.
FRAS-LE,2080T,LONA TRASEIRA,FORD F-1000 4X4 93/98,FORD,F-1000 4X4,1993 a 1998,LONA TRASEIRA compatível com FORD F-1000 4X4. Aplicação: 1993 a 1998. Fabricante: FRAS-LE. Código: 2080T.
FRAS-LE,2080T,LONA TRASEIRA,FORD F-1000 TURBO 90/94,FORD,F-1000 TURBO,1990 a 1994,LONA TRASEIRA compatível com FORD F-1000 TURBO. Aplicação: 1990 a 1994. Fabricante: FRAS-LE. Código: 2080T.
FRAS-LE,2080T,LONA TRASEIRA,FORD GALAXIE 500 69/,FORD,GALAXIE 500,1969,LONA TRASEIRA compatível com FORD GALAXIE 500. Aplicação: 1969. Fabricante: FRAS-LE. Código: 2080T.
FRAS-LE,2080T,LONA TRASEIRA,AGRALE TX1100 81/82,AGRALE,TX1100,1981 a 1982,LONA TRASEIRA compatível com AGRALE TX1100. Aplicação: 1981 a 1982. Fabricante: FRAS-LE. Código: 2080T.
FRAS-LE,2080T,LONA TRASEIRA,AGRALE TX1200 83/84,AGRALE,TX1200,1983 a 1984,LONA TRASEIRA compatível com AGRALE TX1200. Aplicação: 1983 a 1984. Fabricante: FRAS-LE. Código: 2080T.
FRAS-LE,2080TX,LONA TRASEIRA,CHEVROLET D20 85/93,CHEVROLET,D20,1985 a 1993,LONA TRASEIRA compatível com CHEVROLET D20. Aplicação: 1985 a 1993. Fabricante: FRAS-LE. Código: 2080TX.
FRAS-LE,2080TX,LONA TRASEIRA,CHEVROLET C20 85/93,CHEVROLET,C20,1985 a 1993,LONA TRASEIRA compatível com CHEVROLET C20. Aplicação: 1985 a 1993. Fabricante: FRAS-LE. Código: 2080TX.
FRAS-LE,2080TX,LONA TRASEIRA,CHEVROLET D10 85/94,CHEVROLET,D10,1985 a 1994,LONA TRASEIRA compatível com CHEVROLET D10. Aplicação: 1985 a 1994. Fabricante: FRAS-LE. Código: 2080TX.
FRAS-LE,2080TX,LONA TRASEIRA,CHEVROLET C10 85/94,CHEVROLET,C10,1985 a 1994,LONA TRASEIRA compatível com CHEVROLET C10. Aplicação: 1985 a 1994. Fabricante: FRAS-LE. Código: 2080TX.
FRAS-LE,2080TX,LONA TRASEIRA,CHEVROLET C14 79/,CHEVROLET,C14,1979,LONA TRASEIRA compatível com CHEVROLET C14. Aplicação: 1979. Fabricante: FRAS-LE. Código: 2080TX.
FRAS-LE,2080TX,LONA TRASEIRA,FORD F-1000 79/94,FORD,F-1000,1979 a 1994,LONA TRASEIRA compatível com FORD F-1000. Aplicação: 1979 a 1994. Fabricante: FRAS-LE. Código: 2080TX.
FRAS-LE,2080TX,LONA TRASEIRA,FORD F-1000 85/98,FORD,F-1000,1985 a 1998,LONA TRASEIRA compatível com FORD F-1000. Aplicação: 1985 a 1998. Fabricante: FRAS-LE. Código: 2080TX.
FRAS-LE,2080TX,LONA TRASEIRA,FORD F-1000 4X4 93/98,FORD,F-1000 4X4,1993 a 1998,LONA TRASEIRA compatível com FORD F-1000 4X4. Aplicação: 1993 a 1998. Fabricante: FRAS-LE. Código: 2080TX.
FRAS-LE,2080TX,LONA TRASEIRA,FORD F-1000 TURBO 90/94,FORD,F-1000 TURBO,1990 a 1994,LONA TRASEIRA compatível com FORD F-1000 TURBO. Aplicação: 1990 a 1994. Fabricante: FRAS-LE. Código: 2080TX.
FRAS-LE,2080TX,LONA TRASEIRA,FORD GALAXIE 500 69/,FORD,GALAXIE 500,1969,LONA TRASEIRA compatível com FORD GALAXIE 500. Aplicação: 1969. Fabricante: FRAS-LE. Código: 2080TX.
FRAS-LE,2080TX,LONA TRASEIRA,AGRALE TX1100 81/82,AGRALE,TX1100,1981 a 1982,LONA TRASEIRA compatível com AGRALE TX1100. Aplicação: 1981 a 1982. Fabricante: FRAS-LE. Código: 2080TX.
FRAS-LE,2080TX,LONA TRASEIRA,AGRALE TX1200 83/84,AGRALE,TX1200,1983 a 1984,LONA TRASEIRA compatível com AGRALE TX1200. Aplicação: 1983 a 1984. Fabricante: FRAS-LE. Código: 2080TX.
FRAS-LE,CB132CPA,SAPATA FREIO C/HASTE,CHEVROLET S10 COLINA SPRINT EURO I 95/05,CHEVROLET,S10 COLINA SPRINT EURO I,1995 a 2005,SAPATA FREIO C/HASTE compatível com CHEVROLET S10 COLINA SPRINT EURO I. Aplicação: 1995 a 2005. Fabricante: FRAS-LE. Código: CB132CPA.
FRAS-LE,CB132CPA,SAPATA FREIO C/HASTE,CHEVROLET S10 COLINA 4X2 SPRINT EU 95/05,CHEVROLET,S10 COLINA 4X2 SPRINT EU,1995 a 2005,SAPATA FREIO C/HASTE compatível com CHEVROLET S10 COLINA 4X2 SPRINT EU. Aplicação: 1995 a 2005. Fabricante: FRAS-LE. Código: CB132CPA.
FRAS-LE,CB132CPA,SAPATA FREIO C/HASTE,CHEVROLET S10 DLX TB MAXION 2.5 8V 95/00,CHEVROLET,S10 DLX TB MAXION 2.5 8V,1995 a 2000,SAPATA FREIO C/HASTE compatível com CHEVROLET S10 DLX TB MAXION 2.5 8V. Aplicação: 1995 a 2000. Fabricante: FRAS-LE. Código: CB132CPA.
FRAS-LE,CB132CPA,SAPATA FREIO C/HASTE,CHEVROLET S10 EXECUTIVE 4X2 TB SPR 95/05,CHEVROLET,S10 EXECUTIVE 4X2 TB SPR,1995 a 2005,SAPATA FREIO C/HASTE compatível com CHEVROLET S10 EXECUTIVE 4X2 TB SPR. Aplicação: 1995 a 2005. Fabricante: FRAS-LE. Código: CB132CPA.
FRAS-LE,CB132CPA,SAPATA FREIO C/HASTE,CHEVROLET S10 EXECUTIVE 4X4 TB SPR 95/05,CHEVROLET,S10 EXECUTIVE 4X4 TB SPR,1995 a 2005,SAPATA FREIO C/HASTE compatível com CHEVROLET S10 EXECUTIVE 4X4 TB SPR. Aplicação: 1995 a 2005. Fabricante: FRAS-LE. Código: CB132CPA.
FRAS-LE,CB40,LONA TRASEIRA (NON ASBESTOS),FORD PAMPA 4X2 81/,FORD,PAMPA 4X2,1981,LONA TRASEIRA (NON ASBESTOS) compatível com FORD PAMPA 4X2. Aplicação: 1981. Fabricante: FRAS-LE. Código: CB40.
FRAS-LE,CB40,LONA TRASEIRA (NON ASBESTOS),CHEVROLET CHEVETTE 79/93,CHEVROLET,CHEVETTE,1979 a 1993,LONA TRASEIRA (NON ASBESTOS) compatível com CHEVROLET CHEVETTE. Aplicação: 1979 a 1993. Fabricante: FRAS-LE. Código: CB40.
FRAS-LE,CB40,LONA TRASEIRA (NON ASBESTOS),CHEVROLET CHEVY 500 83/93,CHEVROLET,CHEVY 500,1983 a 1993,LONA TRASEIRA (NON ASBESTOS) compatível com CHEVROLET CHEVY 500. Aplicação: 1983 a 1993. Fabricante: FRAS-LE. Código: CB40.
FRAS-LE,CB40,LONA TRASEIRA (NON ASBESTOS),CHEVROLET IPANEMA 1.8/2.0 90/93,CHEVROLET,IPANEMA 1.8/2.0,1990 a 1993,LONA TRASEIRA (NON ASBESTOS) compatível com CHEVROLET IPANEMA 1.8/2.0. Aplicação: 1990 a 1993. Fabricante: FRAS-LE. Código: CB40.
FRAS-LE,CB40,LONA TRASEIRA (NON ASBESTOS),CHEVROLET KADETT 1.8 89/93,CHEVROLET,KADETT 1.8,1989 a 1993,LONA TRASEIRA (NON ASBESTOS) compatível com CHEVROLET KADETT 1.8. Aplicação: 1989 a 1993. Fabricante: FRAS-LE. Código: CB40.
FRAS-LE,CB40,LONA TRASEIRA (NON ASBESTOS),CHEVROLET MARAJO 81/89,CHEVROLET,MARAJO,1981 a 1989,LONA TRASEIRA (NON ASBESTOS) compatível com CHEVROLET MARAJO. Aplicação: 1981 a 1989. Fabricante: FRAS-LE. Código: CB40.
FRAS-LE,CB41,LONA TRASEIRA VARGA (NON ASBESTOS),CHEVROLET IPANEMA AMBULANCIA 2.0 L 8V 91/97,CHEVROLET,IPANEMA AMBULANCIA 2.0 L 8V,1991 a 1997,LONA TRASEIRA VARGA (NON ASBESTOS) compatível com CHEVROLET IPANEMA AMBULANCIA 2.0 L 8V. Aplicação: 1991 a 1997. Fabricante: FRAS-LE. Código: CB41.
FRAS-LE,CB41,LONA TRASEIRA VARGA (NON ASBESTOS),CHEVROLET IPANEMA GL 1.8 L 8V SOHC SOH 91/97,CHEVROLET,IPANEMA GL 1.8 L 8V SOHC SOH,1991 a 1997,LONA TRASEIRA VARGA (NON ASBESTOS) compatível com CHEVROLET IPANEMA GL 1.8 L 8V SOHC SOH. Aplicação: 1991 a 1997. Fabricante: FRAS-LE. Código: CB41.
FRAS-LE,CB41,LONA TRASEIRA VARGA (NON ASBESTOS),CHEVROLET IPANEMA GL 2.0 L 8V SOHC SOH 91/98,CHEVROLET,IPANEMA GL 2.0 L 8V SOHC SOH,1991 a 1998,LONA TRASEIRA VARGA (NON ASBESTOS) compatível com CHEVROLET IPANEMA GL 2.0 L 8V SOHC SOH. Aplicação: 1991 a 1998. Fabricante: FRAS-LE. Código: CB41.
FRAS-LE,CB41,LONA TRASEIRA VARGA (NON ASBESTOS),CHEVROLET IPANEMA GLS 2.0 L 8V SOHC SO 91/97,CHEVROLET,IPANEMA GLS 2.0 L 8V SOHC SO,1991 a 1997,LONA TRASEIRA VARGA (NON ASBESTOS) compatível com CHEVROLET IPANEMA GLS 2.0 L 8V SOHC SO. Aplicação: 1991 a 1997. Fabricante: FRAS-LE. Código: CB41.
FRAS-LE,CB41,LONA TRASEIRA VARGA (NON ASBESTOS),CHEVROLET IPANEMA SL 1.8 L 8V SOHC SOH 91/97,CHEVROLET,IPANEMA SL 1.8 L 8V SOHC SOH,1991 a 1997,LONA TRASEIRA VARGA (NON ASBESTOS) compatível com CHEVROLET IPANEMA SL 1.8 L 8V SOHC SOH. Aplicação: 1991 a 1997. Fabricante: FRAS-LE. Código: CB41.
FRAS-LE,CB416CPA,SAPATA FREIO C/HASTE,CHEVROLET PRISMA ADVANTAGE 1.4 8V 15/16,CHEVROLET,PRISMA ADVANTAGE 1.4 8V,2015 a 2016,SAPATA FREIO C/HASTE compatível com CHEVROLET PRISMA ADVANTAGE 1.4 8V. Aplicação: 2015 a 2016. Fabricante: FRAS-LE. Código: CB416CPA.
FRAS-LE,CB416CPA,SAPATA FREIO C/HASTE,CHEVROLET PRISMA ADVANTAGE 1.0 8V 14/15,CHEVROLET,PRISMA ADVANTAGE 1.0 8V,2014 a 2015,SAPATA FREIO C/HASTE compatível com CHEVROLET PRISMA ADVANTAGE 1.0 8V. Aplicação: 2014 a 2015. Fabricante: FRAS-LE. Código: CB416CPA.
FRAS-LE,CB416CPA,SAPATA FREIO C/HASTE,CHEVROLET PRISMA JOY 1.0 8V 16/19,CHEVROLET,PRISMA JOY 1.0 8V,2016 a 2019,SAPATA FREIO C/HASTE compatível com CHEVROLET PRISMA JOY 1.0 8V. Aplicação: 2016 a 2019. Fabricante: FRAS-LE. Código: CB416CPA.
FRAS-LE,CB416CPA,SAPATA FREIO C/HASTE,CHEVROLET PRISMA LT 1.4 8V 13/19,CHEVROLET,PRISMA LT 1.4 8V,2013 a 2019,SAPATA FREIO C/HASTE compatível com CHEVROLET PRISMA LT 1.4 8V. Aplicação: 2013 a 2019. Fabricante: FRAS-LE. Código: CB416CPA.
FRAS-LE,CB416CPA,SAPATA FREIO C/HASTE,CHEVROLET PRISMA LT 1.0 8V 13/16,CHEVROLET,PRISMA LT 1.0 8V,2013 a 2016,SAPATA FREIO C/HASTE compatível com CHEVROLET PRISMA LT 1.0 8V. Aplicação: 2013 a 2016. Fabricante: FRAS-LE. Código: CB416CPA.
FRAS-LE,CB46CP,SAPATA FREIO,CHEVROLET VECTRA (SIST. BOSCH) 97/,CHEVROLET,VECTRA (SIST. BOSCH),1997,SAPATA FREIO compatível com CHEVROLET VECTRA (SIST. BOSCH). Aplicação: 1997. Fabricante: FRAS-LE. Código: CB46CP.
FRAS-LE,CB46CP,SAPATA FREIO,CHEVROLET ASTRA (SIST. BOSCH) 99/,CHEVROLET,ASTRA (SIST. BOSCH),1999,SAPATA FREIO compatível com CHEVROLET ASTRA (SIST. BOSCH). Aplicação: 1999. Fabricante: FRAS-LE. Código: CB46CP.
FRAS-LE,CB46CP,SAPATA FREIO,CHEVROLET CORSA (SIST. BOSCH) 02/,CHEVROLET,CORSA (SIST. BOSCH),2002,SAPATA FREIO compatível com CHEVROLET CORSA (SIST. BOSCH). Aplicação: 2002. Fabricante: FRAS-LE. Código: CB46CP.
FRAS-LE,CB46CP,SAPATA FREIO,CHEVROLET MONTANA (SIST. BOSCH) 03/,CHEVROLET,MONTANA (SIST. BOSCH),2003,SAPATA FREIO compatível com CHEVROLET MONTANA (SIST. BOSCH). Aplicação: 2003. Fabricante: FRAS-LE. Código: CB46CP.
FRAS-LE,CB46CP,SAPATA FREIO,CHEVROLET MERIVA 1.8 (SIST. BOSCH) 98/,CHEVROLET,MERIVA 1.8 (SIST. BOSCH),1998,SAPATA FREIO compatível com CHEVROLET MERIVA 1.8 (SIST. BOSCH). Aplicação: 1998. Fabricante: FRAS-LE. Código: CB46CP.
FRAS-LE,CB49,LONA TRASEIRA (NON ASBESTOS),CHEVROLET CORSA 1.0 94/00,CHEVROLET,CORSA 1.0,1994 a 2000,LONA TRASEIRA (NON ASBESTOS) compatível com CHEVROLET CORSA 1.0. Aplicação: 1994 a 2000. Fabricante: FRAS-LE. Código: CB49.
FRAS-LE,CB49,LONA TRASEIRA (NON ASBESTOS),CHEVROLET CORSA 1.4 94/99,CHEVROLET,CORSA 1.4,1994 a 1999,LONA TRASEIRA (NON ASBESTOS) compatível com CHEVROLET CORSA 1.4. Aplicação: 1994 a 1999. Fabricante: FRAS-LE. Código: CB49.
FRAS-LE,CB49,LONA TRASEIRA (NON ASBESTOS),CHEVROLET CORSA 1.6 95/00,CHEVROLET,CORSA 1.6,1995 a 2000,LONA TRASEIRA (NON ASBESTOS) compatível com CHEVROLET CORSA 1.6. Aplicação: 1995 a 2000. Fabricante: FRAS-LE. Código: CB49.
FRAS-LE,CB49CPA,SAPATA FREIO SIST.VARGA,CHEVROLET CORSA 1.0 94/00,CHEVROLET,CORSA 1.0,1994 a 2000,SAPATA FREIO SIST.VARGA compatível com CHEVROLET CORSA 1.0. Aplicação: 1994 a 2000. Fabricante: FRAS-LE. Código: CB49CPA.
FRAS-LE,CB49CPA,SAPATA FREIO SIST.VARGA,CHEVROLET CORSA 1.4 94/,CHEVROLET,CORSA 1.4,1994,SAPATA FREIO SIST.VARGA compatível com CHEVROLET CORSA 1.4. Aplicação: 1994. Fabricante: FRAS-LE. Código: CB49CPA.
FRAS-LE,CB49CPA,SAPATA FREIO SIST.VARGA,CHEVROLET CORSA 1.6 96/,CHEVROLET,CORSA 1.6,1996,SAPATA FREIO SIST.VARGA compatível com CHEVROLET CORSA 1.6. Aplicação: 1996. Fabricante: FRAS-LE. Código: CB49CPA.
FRAS-LE,CB49CPA,SAPATA FREIO SIST.VARGA,CHEVROLET CORSA 02/,CHEVROLET,CORSA,2002,SAPATA FREIO SIST.VARGA compatível com CHEVROLET CORSA. Aplicação: 2002. Fabricante: FRAS-LE. Código: CB49CPA.
FRAS-LE,CB49CPA,SAPATA FREIO SIST.VARGA,CHEVROLET AGILE LTZ FLEX 1.4 10/,CHEVROLET,AGILE LTZ FLEX 1.4,2010,SAPATA FREIO SIST.VARGA compatível com CHEVROLET AGILE LTZ FLEX 1.4. Aplicação: 2010. Fabricante: FRAS-LE. Código: CB49CPA.
FRAS-LE,CB508CPA,SAPATA DE FREIO C/HASTE,CHEVROLET ONIX 1.0 12V 3CIL (ECOTEC 19/23,CHEVROLET,ONIX 1.0 12V 3CIL (ECOTEC,2019 a 2023,SAPATA DE FREIO C/HASTE compatível com CHEVROLET ONIX 1.0 12V 3CIL (ECOTEC. Aplicação: 2019 a 2023. Fabricante: FRAS-LE. Código: CB508CPA.
FRAS-LE,CB508CPA,SAPATA DE FREIO C/HASTE,CHEVROLET ONIX RS 1.0 12V 3CIL (ECO 20/23,CHEVROLET,ONIX RS 1.0 12V 3CIL (ECO,2020 a 2023,SAPATA DE FREIO C/HASTE compatível com CHEVROLET ONIX RS 1.0 12V 3CIL (ECO. Aplicação: 2020 a 2023. Fabricante: FRAS-LE. Código: CB508CPA.
FRAS-LE,CB508CPA,SAPATA DE FREIO C/HASTE,CHEVROLET ONIX LT 1.0 12V 3CIL (ECO 19/23,CHEVROLET,ONIX LT 1.0 12V 3CIL (ECO,2019 a 2023,SAPATA DE FREIO C/HASTE compatível com CHEVROLET ONIX LT 1.0 12V 3CIL (ECO. Aplicação: 2019 a 2023. Fabricante: FRAS-LE. Código: CB508CPA.
FRAS-LE,CB508CPA,SAPATA DE FREIO C/HASTE,CHEVROLET ONIX LT 1.0 12V 3CIL (ECO 19/23,CHEVROLET,ONIX LT 1.0 12V 3CIL (ECO,2019 a 2023,SAPATA DE FREIO C/HASTE compatível com CHEVROLET ONIX LT 1.0 12V 3CIL (ECO. Aplicação: 2019 a 2023. Fabricante: FRAS-LE. Código: CB508CPA.
FRAS-LE,CB508CPA,SAPATA DE FREIO C/HASTE,CHEVROLET ONIX LT Z 1.0 12V 3CIL (E 19/23,CHEVROLET,ONIX LT Z 1.0 12V 3CIL (E,2019 a 2023,SAPATA DE FREIO C/HASTE compatível com CHEVROLET ONIX LT Z 1.0 12V 3CIL (E. Aplicação: 2019 a 2023. Fabricante: FRAS-LE. Código: CB508CPA.
FRAS-LE,CB51CP,"SAPATA FREIO 279,4 X 65",CHEVROLET S10 06 CIL-GASOLINA 95/,CHEVROLET,S10 06 CIL-GASOLINA,1995,"SAPATA FREIO 279,4 X 65 compatível com CHEVROLET S10 06 CIL-GASOLINA. Aplicação: 1995. Fabricante: FRAS-LE. Código: CB51CP."
FRAS-LE,CB51CP,"SAPATA FREIO 279,4 X 65",CHEVROLET BLAZER 06 CIL-GASOLINA 95/,CHEVROLET,BLAZER 06 CIL-GASOLINA,1995,"SAPATA FREIO 279,4 X 65 compatível com CHEVROLET BLAZER 06 CIL-GASOLINA. Aplicação: 1995. Fabricante: FRAS-LE. Código: CB51CP."
FRAS-LE,CB51CP,"SAPATA FREIO 279,4 X 65",CHEVROLET BLAZER DIESEL-TODOS 95/,CHEVROLET,BLAZER DIESEL-TODOS,1995,"SAPATA FREIO 279,4 X 65 compatível com CHEVROLET BLAZER DIESEL-TODOS. Aplicação: 1995. Fabricante: FRAS-LE. Código: CB51CP."
FRAS-LE,CB51CP,"SAPATA FREIO 279,4 X 65",CHEVROLET S10 DIESEL-TODOS 95/,CHEVROLET,S10 DIESEL-TODOS,1995,"SAPATA FREIO 279,4 X 65 compatível com CHEVROLET S10 DIESEL-TODOS. Aplicação: 1995. Fabricante: FRAS-LE. Código: CB51CP."
FRAS-LE,CB51CP,"SAPATA FREIO 279,4 X 65",FORD RANGER 4X2/4X4,FORD,RANGER 4X2/4X4,não especificado,"SAPATA FREIO 279,4 X 65 compatível com FORD RANGER 4X2/4X4. Aplicação: não especificado. Fabricante: FRAS-LE. Código: CB51CP."
FRAS-LE,CB52,LONA TRASEIRA (NON ASBESTOS),CHEVROLET A-20 4/6 CIL 93/97,CHEVROLET,A-20 4/6 CIL,1993 a 1997,LONA TRASEIRA (NON ASBESTOS) compatível com CHEVROLET A-20 4/6 CIL. Aplicação: 1993 a 1997. Fabricante: FRAS-LE. Código: CB52.
FRAS-LE,CB52,LONA TRASEIRA (NON ASBESTOS),CHEVROLET C20 4/6 CIL 93/97,CHEVROLET,C20 4/6 CIL,1993 a 1997,LONA TRASEIRA (NON ASBESTOS) compatível com CHEVROLET C20 4/6 CIL. Aplicação: 1993 a 1997. Fabricante: FRAS-LE. Código: CB52.
FRAS-LE,CB52,LONA TRASEIRA (NON ASBESTOS),CHEVROLET BONANZA 94/,CHEVROLET,BONANZA,1994,LONA TRASEIRA (NON ASBESTOS) compatível com CHEVROLET BONANZA. Aplicação: 1994. Fabricante: FRAS-LE. Código: CB52.
FRAS-LE,CB52,LONA TRASEIRA (NON ASBESTOS),CHEVROLET SILVERADO 97/,CHEVROLET,SILVERADO,1997,LONA TRASEIRA (NON ASBESTOS) compatível com CHEVROLET SILVERADO. Aplicação: 1997. Fabricante: FRAS-LE. Código: CB52.
FRAS-LE,CB52,LONA TRASEIRA (NON ASBESTOS),CHEVROLET VERANEIO 94/,CHEVROLET,VERANEIO,1994,LONA TRASEIRA (NON ASBESTOS) compatível com CHEVROLET VERANEIO. Aplicação: 1994. Fabricante: FRAS-LE. Código: CB52.
FRAS-LE,CI430CPA,SAPATA DE FREIO C/HASTE,CITROEN C3 PICASSO 1.6 11/15,CITROEN,C3 PICASSO 1.6,2011 a 2015,SAPATA DE FREIO C/HASTE compatível com CITROEN C3 PICASSO 1.6. Aplicação: 2011 a 2015. Fabricante: FRAS-LE. Código: CI430CPA.
FRAS-LE,CI430CPA,SAPATA DE FREIO C/HASTE,CITROEN C3 PICASSO 1.5 11/15,CITROEN,C3 PICASSO 1.5,2011 a 2015,SAPATA DE FREIO C/HASTE compatível com CITROEN C3 PICASSO 1.5. Aplicação: 2011 a 2015. Fabricante: FRAS-LE. Código: CI430CPA.
FRAS-LE,CI430CPA,SAPATA DE FREIO C/HASTE,CITROEN AIRCROSS 1.6 16V EXCLUSIVE / 10/,CITROEN,AIRCROSS 1.6 16V EXCLUSIVE /,2010,SAPATA DE FREIO C/HASTE compatível com CITROEN AIRCROSS 1.6 16V EXCLUSIVE /. Aplicação: 2010. Fabricante: FRAS-LE. Código: CI430CPA.
FRAS-LE,CI430CPA,SAPATA DE FREIO C/HASTE,CITROEN AIRCROSS 1.5 10/,CITROEN,AIRCROSS 1.5,2010,SAPATA DE FREIO C/HASTE compatível com CITROEN AIRCROSS 1.5. Aplicação: 2010. Fabricante: FRAS-LE. Código: CI430CPA.
